TeamID,Time,Packet,Altitude,Pressure,Airspeed,Temperature,Voltage,Latitude,Longitude,GPSAlt,Satellites,GPSSpeed,Heading,ImageCount,State
86,0,51,73,87,50,53,18,31,36,88,4,49,14,82,32
50,1,93,91,81,81,17,64,25,28,21,13,37,70,15,5
65,2,91,3,40,42,53,34,8,45,3,55,43,88,67,71
51,3,23,56,8,23,11,2,48,64,65,92,72,78,0,21
82,4,35,13,79,49,33,81,13,58,8,75,73,35,93,71
77,5,84,99,64,22,0,53,75,53,12,50,25,21,80,72
98,6,49,15,92,45,23,72,70,88,41,83,77,5,31,91
24,7,33,4,58,64,2,43,66,27,14,99,31,10,96,15
15,8,54,94,98,39,48,50,95,74,81,78,10,9,24,24
52,9,77,63,76,67,84,92,40,82,77,0,27,57,57,76
22,10,58,31,0,24,27,5,61,48,34,41,10,51,89,45
61,11,3,89,2,11,60,74,26,92,67,4,20,52,27,98
34,12,65,4,78,34,46,25,90,66,36,31,81,78,91,9
80,13,52,38,2,93,88,97,91,19,11,47,51,35,47,72
71,14,59,34,59,29,14,41,69,68,40,84,22,24,74,44
36,15,63,15,26,77,23,75,52,74,83,13,12,0,41,84
23,16,33,32,26,11,81,23,62,97,49,26,61,20,99,75
73,17,2,59,82,27,20,17,95,93,65,73,2,69,72,16
90,18,56,69,52,82,46,67,15,36,59,21,54,31,22,21
86,19,3,45,40,86,34,78,48,79,5,5,99,47,51,45
98,20,50,53,82,14,3,60,57,49,54,46,5,31,51,89
37,21,96,36,99,99,66,34,56,29,61,47,81,92,38,60
57,22,61,71,24,12,55,43,25,78,51,16,29,68,70,1
83,23,35,73,62,10,25,28,45,89,29,73,70,66,93,60
20,24,16,99,10,73,57,85,92,2,79,30,16,0,29,66
84,25,11,91,22,15,38,77,45,65,51,0,75,85,58,70
51,26,7,39,23,66,5,65,95,63,30,93,78,67,34,53
80,27,32,79,98,40,79,47,1,77,17,7,34,42,4,3
36,28,43,50,54,54,50,69,27,44,41,93,96,46,1,45
87,29,80,50,11,14,99,29,7,2,7,78,68,52,35,74
29,30,76,65,36,80,24,63,57,42,56,66,18,94,44,83
46,31,85,22,28,81,45,72,92,93,55,9,99,14,83,51
36,32,66,32,66,96,54,35,93,86,4,77,92,44,14,47
17,33,73,98,62,98,50,14,71,88,27,44,95,47,2,73
39,34,26,91,93,21,15,28,13,20,45,95,48,49,70,52
15,35,34,71,88,5,27,18,96,94,86,12,3,12,47,66
13,36,24,28,88,93,96,64,35,14,17,83,77,21,85,94
87,37,97,19,0,1,26,66,63,10,70,43,45,61,29,88
16,38,77,25,16,85,70,84,71,49,10,9,72,67,14,56
53,39,14,98,24,13,1,8,1,51,14,22,94,52,3,99
95,40,41,84,82,4,54,15,39,6,16,97,80,83,92,25
84,41,25,99,38,49,9,77,39,75,21,45,16,30,88,9
64,42,72,21,93,10,11,39,30,69,10,90,1,20,94,98
70,43,21,33,90,63,73,70,59,53,63,56,97,84,95,54
31,44,16,11,31,24,95,19,24,95,48,46,61,72,60,0
11,45,21,17,43,61,46,97,88,96,12,67,13,29,73,76
38,46,25,11,27,96,69,73,10,95,27,17,33,97,31,98
56,47,79,23,97,12,89,39,75,38,12,67,73,76,17,46
98,48,96,3,60,53,24,92,10,22,60,1,6,82,60,26
65,49,79,71,0,52,68,80,84,43,42,14,53,86,74,11
15,50,67,47,43,19,55,68,40,89,87,47,14,28,75,99
80,51,46,35,9,67,63,14,54,72,54,25,7,66,18,38
